"","OID","Time_UTC","Lat","Lon","Temp.K.","DewPoint.K.","RelHumid","Pressure","RadDir.Wm.2.","RadDiff.Wm.2.","LWRad","SWNorm","SWRad","WindDir.from.","WindSpeed.ms.1.","SnowDepth.cm.","x","coord","T_F"
"1",1,"2015-01-01_00:00:00",41.858452,-87.641113,267.953949,254.801682,34.238678,100049.367188,0,0,182.00473,0,0,241.659698,8.179147,0,NA,"41.858452 -87.641113",22.6471082
"2",2,"2015-01-01_00:00:00",41.858456,-87.639984,267.960144,254.805664,34.227577,100056.875,0,0,181.982162,0,0,241.451111,8.139452,0,NA,"41.858456 -87.639984",22.6582592
"3",3,"2015-01-01_00:00:00",41.858471,-87.638855,267.964691,254.808792,34.220516,100064.359375,0,0,181.964813,0,0,241.24353,8.097613,0,NA,"41.858471 -87.638855",22.6664438
"4",4,"2015-01-01_00:00:00",41.858475,-87.637695,267.969849,254.812164,34.211617,100071.429688,0,0,181.945923,0,0,241.051361,8.053659,0,NA,"41.858475 -87.637695",22.6757282
"5",5,"2015-01-01_00:00:00",41.858475,-87.636566,267.975342,254.815704,34.201805,100078.328125,0,0,181.926315,0,0,240.838837,8.008997,0,NA,"41.858475 -87.636566",22.6856156
"6",6,"2015-01-01_00:00:00",41.858482,-87.635437,267.980438,254.819031,34.19294,100084.945312,0,0,181.912048,0,0,240.635468,7.966333,0,NA,"41.858482 -87.635437",22.6947884
"7",7,"2015-01-01_00:00:00",41.85849,-87.634277,267.984161,254.821686,34.187592,100091.429688,0,0,181.893707,0,0,240.466888,7.923768,0,NA,"41.85849 -87.634277",22.7014897999999
"8",8,"2015-01-01_00:00:00",41.858494,-87.633148,267.988159,254.824448,34.181458,100097.71875,0,0,181.87706,0,0,240.304855,7.882566,0,NA,"41.858494 -87.633148",22.7086862
"9",9,"2015-01-01_00:00:00",41.858505,-87.632019,267.992584,254.827408,34.174099,100103.960938,0,0,181.865753,0,0,240.123169,7.845488,0,NA,"41.858505 -87.632019",22.7166512000001
"10",10,"2015-01-01_00:00:00",41.858513,-87.630859,267.996857,254.830231,34.166866,100110.039062,0,0,181.850189,0,0,239.911545,7.806679,0,NA,"41.858513 -87.630859",22.7243425999999
"11",11,"2015-01-01_00:00:00",41.858517,-87.62973,268.001282,254.83316,34.15942,100116.671875,0,0,181.838715,0,0,239.726868,7.764612,0,NA,"41.858517 -87.62973",22.7323076
"12",12,"2015-01-01_00:00:00",41.858528,-87.628601,268.006409,254.836426,34.150078,100123.242188,0,0,181.820496,0,0,239.544861,7.72558,0,NA,"41.858528 -87.628601",22.7415362
"13",13,"2015-01-01_00:00:00",41.858532,-87.627441,268.013214,254.840454,34.136162,100130.101562,0,0,181.800827,0,0,239.353485,7.691598,0,NA,"41.858532 -87.627441",22.7537852
"14",14,"2015-01-01_00:00:00",41.85854,-87.626312,268.017792,254.843369,34.127899,100137.015625,0,0,181.780624,0,0,239.195984,7.661269,0,NA,"41.85854 -87.626312",22.7620256
"15",15,"2015-01-01_00:00:00",41.858543,-87.625183,268.022308,254.846313,34.120003,100144.390625,0,0,181.764572,0,0,239.054474,7.627326,0,NA,"41.858543 -87.625183",22.7701544
"16",16,"2015-01-01_00:00:00",41.858547,-87.624023,268.029205,254.850403,34.105995,100152.320312,0,0,181.752747,0,0,238.889114,7.591019,0,NA,"41.858547 -87.624023",22.782569
"17",17,"2015-01-01_00:00:00",41.858562,-87.622894,268.037201,254.855026,34.089127,100160.578125,0,0,181.734879,0,0,238.72467,7.559393,0,NA,"41.858562 -87.622894",22.7969618
"18",18,"2015-01-01_00:00:00",41.858562,-87.621765,268.043823,254.858932,34.07555,100168.625,0,0,181.722198,0,0,238.608002,7.527063,0,NA,"41.858562 -87.621765",22.8088814
"19",19,"2015-01-01_00:00:00",41.85857,-87.620605,268.050476,254.862869,34.061981,100177.039062,0,0,181.707779,0,0,238.470596,7.493503,0,NA,"41.85857 -87.620605",22.8208568
"20",20,"2015-01-01_00:00:00",41.858574,-87.619476,268.056702,254.866623,34.049629,100185.492188,0,0,181.692993,0,0,238.354889,7.465981,0,NA,"41.858574 -87.619476",22.8320636
"21",21,"2015-01-01_00:00:00",41.858582,-87.618317,268.064606,254.871201,34.032978,100194.125,0,0,181.677765,0,0,238.220123,7.444178,0,NA,"41.858582 -87.618317",22.8462908
"22",22,"2015-01-01_00:00:00",41.858589,-87.617188,268.073853,254.876373,34.012596,100202.484375,0,0,181.662567,0,0,238.082367,7.41665,0,NA,"41.858589 -87.617188",22.8629354
"23",23,"2015-01-01_00:00:00",41.859295,-87.641113,267.959991,254.801865,34.209343,100048.359375,0,0,182.006531,0,0,241.643265,8.171394,0,NA,"41.859295 -87.641113",22.6579838
"24",24,"2015-01-01_00:00:00",41.85931,-87.639984,267.966187,254.805878,34.198483,100055.984375,0,0,181.987885,0,0,241.448364,8.129291,0,NA,"41.85931 -87.639984",22.6691366
"25",25,"2015-01-01_00:00:00",41.859314,-87.638855,267.970978,254.809174,34.19099,100063.382812,0,0,181.970795,0,0,241.262909,8.08422,0,NA,"41.859314 -87.638855",22.6777604
"26",26,"2015-01-01_00:00:00",41.859325,-87.637695,267.975922,254.812515,34.182964,100070.453125,0,0,181.950958,0,0,241.059601,8.041221,0,NA,"41.859325 -87.637695",22.6866596
"27",27,"2015-01-01_00:00:00",41.859325,-87.636566,267.980957,254.815887,34.174641,100077.382812,0,0,181.936035,0,0,240.868347,7.999043,0,NA,"41.859325 -87.636566",22.6957226
"28",28,"2015-01-01_00:00:00",41.859333,-87.635437,267.98526,254.818863,34.168034,100083.960938,0,0,181.916992,0,0,240.657745,7.954633,0,NA,"41.859333 -87.635437",22.703468
"29",29,"2015-01-01_00:00:00",41.859341,-87.634277,267.989532,254.821823,34.161461,100090.453125,0,0,181.899902,0,0,240.458511,7.909585,0,NA,"41.859341 -87.634277",22.7111576
"30",30,"2015-01-01_00:00:00",41.859348,-87.633148,267.994293,254.825012,34.153606,100096.804688,0,0,181.880676,0,0,240.267654,7.873039,0,NA,"41.859348 -87.633148",22.7197274000001
"31",31,"2015-01-01_00:00:00",41.859356,-87.632019,267.999115,254.828201,34.145401,100103,0,0,181.867294,0,0,240.102936,7.837934,0,NA,"41.859356 -87.632019",22.728407
"32",32,"2015-01-01_00:00:00",41.859367,-87.630859,268.002991,254.830887,34.139481,100109.171875,0,0,181.850998,0,0,239.925568,7.796797,0,NA,"41.859367 -87.630859",22.7353838
"33",33,"2015-01-01_00:00:00",41.859367,-87.62973,268.006622,254.833496,34.13435,100115.679688,0,0,181.838455,0,0,239.726807,7.754932,0,NA,"41.859367 -87.62973",22.7419196
"34",34,"2015-01-01_00:00:00",41.859375,-87.628601,268.011444,254.83667,34.126095,100122.328125,0,0,181.824249,0,0,239.547485,7.720232,0,NA,"41.859375 -87.628601",22.7505992
"35",35,"2015-01-01_00:00:00",41.859379,-87.627441,268.018036,254.840637,34.113007,100129.242188,0,0,181.80835,0,0,239.382904,7.689568,0,NA,"41.859379 -87.627441",22.7624648
"36",36,"2015-01-01_00:00:00",41.859386,-87.626312,268.022614,254.843613,34.104992,100136.132812,0,0,181.788742,0,0,239.186371,7.656721,0,NA,"41.859386 -87.626312",22.7707052
"37",37,"2015-01-01_00:00:00",41.85939,-87.625183,268.026978,254.846527,34.097771,100143.570312,0,0,181.770187,0,0,239.023285,7.622362,0,NA,"41.85939 -87.625183",22.7785603999999
"38",38,"2015-01-01_00:00:00",41.859394,-87.624023,268.032745,254.850159,34.087063,100151.460938,0,0,181.75589,0,0,238.882187,7.587688,0,NA,"41.859394 -87.624023",22.788941
"39",39,"2015-01-01_00:00:00",41.859406,-87.622894,268.039551,254.854279,34.073647,100159.773438,0,0,181.738617,0,0,238.708206,7.555738,0,NA,"41.859406 -87.622894",22.8011918
"40",40,"2015-01-01_00:00:00",41.859417,-87.621765,268.04541,254.85788,34.062363,100167.859375,0,0,181.72229,0,0,238.564041,7.524374,0,NA,"41.859417 -87.621765",22.811738
"41",41,"2015-01-01_00:00:00",41.859421,-87.620605,268.051636,254.861664,34.050125,100176.234375,0,0,181.708557,0,0,238.434402,7.494628,0,NA,"41.859421 -87.620605",22.8229448
"42",42,"2015-01-01_00:00:00",41.859428,-87.619476,268.057709,254.865387,34.038395,100184.6875,0,0,181.693863,0,0,238.313873,7.473332,0,NA,"41.859428 -87.619476",22.8338762
"43",43,"2015-01-01_00:00:00",41.859432,-87.618347,268.066376,254.870361,34.019917,100193.367188,0,0,181.679184,0,0,238.192612,7.4501,0,NA,"41.859432 -87.618347",22.8494768
"44",44,"2015-01-01_00:00:00",41.859444,-87.617188,268.07547,254.875504,34.000153,100201.695312,0,0,181.666687,0,0,238.077148,7.420059,0,NA,"41.859444 -87.617188",22.865846
"45",45,"2015-01-01_00:00:00",41.860149,-87.641144,267.965546,254.801773,34.181103,100047.203125,0,0,182.010818,0,0,241.717438,8.163968,0,NA,"41.860149 -87.641144",22.6679828
"46",46,"2015-01-01_00:00:00",41.860157,-87.640015,267.971069,254.805481,34.172081,100054.773438,0,0,181.991562,0,0,241.485245,8.115849,0,NA,"41.860157 -87.640015",22.6779242
"47",47,"2015-01-01_00:00:00",41.860161,-87.638855,267.976776,254.80925,34.162338,100062.242188,0,0,181.974106,0,0,241.295761,8.071169,0,NA,"41.860161 -87.638855",22.6881968
"48",48,"2015-01-01_00:00:00",41.860172,-87.637726,267.981903,254.812729,34.154148,100069.390625,0,0,181.957397,0,0,241.086456,8.029406,0,NA,"41.860172 -87.637726",22.6974254
"49",49,"2015-01-01_00:00:00",41.860172,-87.636597,267.986725,254.816055,34.146637,100076.273438,0,0,181.940903,0,0,240.873657,7.983983,0,NA,"41.860172 -87.636597",22.706105
"50",50,"2015-01-01_00:00:00",41.860184,-87.635437,267.990631,254.818893,34.141308,100082.960938,0,0,181.924789,0,0,240.679367,7.939504,0,NA,"41.860184 -87.635437",22.7131358
"51",51,"2015-01-01_00:00:00",41.860184,-87.634308,267.99472,254.821808,34.135414,100089.453125,0,0,181.906754,0,0,240.498703,7.899321,0,NA,"41.860184 -87.634308",22.720496
"52",52,"2015-01-01_00:00:00",41.860199,-87.633179,268.000397,254.825455,34.125317,100095.796875,0,0,181.887283,0,0,240.299545,7.861969,0,NA,"41.860199 -87.633179",22.7307146000001
"53",53,"2015-01-01_00:00:00",41.860203,-87.632019,268.005829,254.828979,34.115788,100102.109375,0,0,181.867737,0,0,240.104065,7.822322,0,NA,"41.860203 -87.632019",22.7404922
"54",54,"2015-01-01_00:00:00",41.86021,-87.63089,268.008881,254.831345,34.112328,100108.1875,0,0,181.855133,0,0,239.926285,7.782924,0,NA,"41.86021 -87.63089",22.7459858
"55",55,"2015-01-01_00:00:00",41.860214,-87.629761,268.012421,254.833954,34.107662,100114.632812,0,0,181.838531,0,0,239.733017,7.747022,0,NA,"41.860214 -87.629761",22.7523578
"56",56,"2015-01-01_00:00:00",41.860222,-87.628601,268.017639,254.837357,34.098595,100121.3125,0,0,181.824081,0,0,239.549713,7.71174,0,NA,"41.860222 -87.628601",22.7617501999999
"57",57,"2015-01-01_00:00:00",41.860233,-87.627472,268.023621,254.841095,34.087383,100128.226562,0,0,181.805969,0,0,239.369339,7.68202,0,NA,"41.860233 -87.627472",22.7725178
"58",58,"2015-01-01_00:00:00",41.860233,-87.626312,268.027863,254.843979,34.080578,100135.234375,0,0,181.786469,0,0,239.207031,7.650923,0,NA,"41.860233 -87.626312",22.7801534
"59",59,"2015-01-01_00:00:00",41.860241,-87.625183,268.032227,254.846954,34.073608,100142.710938,0,0,181.777756,0,0,239.009979,7.614642,0,NA,"41.860241 -87.625183",22.7880086
"60",60,"2015-01-01_00:00:00",41.860252,-87.624054,268.037811,254.85054,34.063629,100150.632812,0,0,181.761978,0,0,238.839554,7.583788,0,NA,"41.860252 -87.624054",22.7980598
"61",61,"2015-01-01_00:00:00",41.860256,-87.622894,268.044189,254.854507,34.051586,100158.9375,0,0,181.744568,0,0,238.689301,7.555271,0,NA,"41.860256 -87.622894",22.8095402
"62",62,"2015-01-01_00:00:00",41.860256,-87.621765,268.049072,254.857712,34.04319,100167.078125,0,0,181.727249,0,0,238.534973,7.523402,0,NA,"41.860256 -87.621765",22.8183296
"63",63,"2015-01-01_00:00:00",41.860268,-87.620605,268.054199,254.861023,34.034122,100175.429688,0,0,181.710007,0,0,238.388184,7.495698,0,NA,"41.860268 -87.620605",22.8275581999999
"64",64,"2015-01-01_00:00:00",41.860275,-87.619476,268.060852,254.865067,34.021057,100183.898438,0,0,181.694138,0,0,238.264526,7.473951,0,NA,"41.860275 -87.619476",22.8395336
"65",65,"2015-01-01_00:00:00",41.860279,-87.618347,268.070038,254.870331,34.001427,100192.625,0,0,181.682556,0,0,238.146866,7.446735,0,NA,"41.860279 -87.618347",22.8560684
"66",66,"2015-01-01_00:00:00",41.860291,-87.617188,268.078644,254.87529,33.9832,100200.945312,0,0,181.664627,0,0,238.05127,7.419725,0,NA,"41.860291 -87.617188",22.8715592
"67",67,"2015-01-01_00:00:00",41.860996,-87.641144,267.971436,254.801804,34.151833,100045.914062,0,0,182.013763,0,0,241.783203,8.15388,0,NA,"41.860996 -87.641144",22.6785848
"68",68,"2015-01-01_00:00:00",41.861004,-87.640015,267.976593,254.805359,34.143837,100053.585938,0,0,181.994354,0,0,241.556534,8.107883,0,NA,"41.861004 -87.640015",22.6878674
"69",69,"2015-01-01_00:00:00",41.861008,-87.638855,267.981598,254.808838,34.136169,100061.109375,0,0,181.981461,0,0,241.327698,8.063176,0,NA,"41.861008 -87.638855",22.6968764
